"","county","Year","n_claims","Employment","GEOID","average_pr","average_tmean","average_tmax","average_tmin"
"1","Dallas",2013,753,72019.8333333333,48113,2.33082491988157,18.5770164755078,24.3417285130307,12.813275950759
"2","Dallas",2014,767,76781.6666666667,48113,1.67968892376164,18.3151038143178,24.0124096941233,12.6187202640301
"3","Dallas",2015,672,80895,48113,4.58153398228377,19.1968759243921,24.5324874112074,13.8622208634909
"4","Dallas",2016,671,84666,48113,2.9478498087628,19.9530594214619,25.3746024200067,14.5324970150066
"5","Dallas",2017,687,87989.75,48113,2.79627442068116,19.9454743248527,25.5058277626294,14.3861012246672
"6","Dallas",2018,693,89258.5,48113,4.05269698850862,19.113137290305,24.5579700365182,13.6692787124493
"7","Dallas",2019,629,92923.5,48113,2.96865459190507,18.9159649677815,24.3879674993537,13.4442645860826
"8","Dallas",2020,557,90505.9166666667,48113,3.32448259613926,19.3390809183359,24.860648602601,13.8176840650517
"9","Dallas",2021,562,89051.5,48113,2.76892573885425,19.1573294678734,24.6055554596502,13.7092356574147
"10","Dallas",2022,579,93119.5,48113,2.75777052638082,19.4744635574752,25.4493121930392,13.4997442355175
"11","Harris",2013,1191,145358.416666667,48201,3.12748365029058,20.6673353621315,25.8842229237528,15.4514418931504
"12","Harris",2014,1282,154909.833333333,48201,3.61820431732603,20.3209635170767,25.2967509400712,15.3461610506329
"13","Harris",2015,1196,163249.083333333,48201,5.35202646320091,21.2454282625798,26.0278394403559,16.4640170541919
"14","Harris",2016,1148,161325.666666667,48201,4.65539373430252,21.9691540623201,26.8841261989581,17.0551744967478
"15","Harris",2017,1090,157248.166666667,48201,5.82693021529937,22.1137669087149,27.0903007320751,17.1382207742657
"16","Harris",2018,1164,160961.083333333,48201,4.35810760633718,21.1360421746801,26.0218642709114,16.2511959598172
"17","Harris",2019,1140,170041.25,48201,3.92175335768093,21.2445718499441,26.2504583163087,16.2390046412862
"18","Harris",2020,1007,156972.833333333,48201,3.84447476389726,21.7335130172204,26.7067337668961,16.7604668952485
"19","Harris",2021,1009,153802,48201,4.05087637658507,21.4424905734669,26.1209012819984,16.7642177798188
"20","Harris",2022,935,160913.166666667,48201,2.88546554768043,21.2919655937573,26.522435179743,16.0616340742567
"21","Tarrant",2013,426,39408.6666666667,48439,2.25271938067361,18.4103359340025,24.3642048396554,12.4574350180525
"22","Tarrant",2014,417,41642.0833333333,48439,1.57674212772055,18.3416625454466,24.2928171498219,12.3914208573425
"23","Tarrant",2015,359,43830.75,48439,4.33442617342892,19.1584254027298,24.7288646911085,13.5889398528884
"24","Tarrant",2016,400,47176,48439,2.64705035245164,19.8469519598424,25.4758992109376,14.2189798608805
"25","Tarrant",2017,449,49645.75,48439,2.62917668216597,19.8721061932728,25.7263494486083,14.0188361802307
"26","Tarrant",2018,443,50264.9166666667,48439,3.43129130134102,19.0210107612525,24.7575235033777,13.2854638385218
"27","Tarrant",2019,424,52776.5833333333,48439,2.57851469684054,18.7789904447697,24.4758352632323,13.0824489036902
"28","Tarrant",2020,394,53133.5,48439,2.74298804969838,19.2707299779975,24.9742163239374,13.567419338048
"29","Tarrant",2021,351,53167.1666666667,48439,2.41223463310186,19.2200320943834,24.6665544681296,13.7736411227511
"30","Tarrant",2022,378,54561.25,48439,2.25822382257768,19.4798761394415,25.5339681750593,13.4259128184394
